Max_iter,C,Tol,fit_intercept,dual,penalty
100,1,0.0001,True,False,l2
100,1,0.0001,True,False,None
100,1,0.0001,False,False,l2
100,1,0.0001,False,False,None
100,1,0.001,True,False,l2
100,1,0.001,True,False,None
100,1,0.001,False,False,l2
100,1,0.001,False,False,None
100,1,0.003,True,False,l2
100,1,0.003,True,False,None
100,1,0.003,False,False,l2
100,1,0.003,False,False,None
100,1,0.005,True,False,l2
100,1,0.005,True,False,None
100,1,0.005,False,False,l2
100,1,0.005,False,False,None
100,1,0.0003,True,False,l2
100,1,0.0003,True,False,None
100,1,0.0003,False,False,l2
100,1,0.0003,False,False,None
100,1,0.0005,True,False,l2
100,1,0.0005,True,False,None
100,1,0.0005,False,False,l2
100,1,0.0005,False,False,None
100,1,0.0008,True,False,l2
100,1,0.0008,True,False,None
100,1,0.0008,False,False,l2
100,1,0.0008,False,False,None
100,0.05,0.0001,True,False,l2
100,0.05,0.0001,True,False,None
100,0.05,0.0001,False,False,l2
100,0.05,0.0001,False,False,None
100,0.05,0.001,True,False,l2
100,0.05,0.001,True,False,None
100,0.05,0.001,False,False,l2
100,0.05,0.001,False,False,None
100,0.05,0.003,True,False,l2
100,0.05,0.003,True,False,None
100,0.05,0.003,False,False,l2
100,0.05,0.003,False,False,None
100,0.05,0.005,True,False,l2
100,0.05,0.005,True,False,None
100,0.05,0.005,False,False,l2
100,0.05,0.005,False,False,None
100,0.05,0.0003,True,False,l2
100,0.05,0.0003,True,False,None
100,0.05,0.0003,False,False,l2
100,0.05,0.0003,False,False,None
100,0.05,0.0005,True,False,l2
100,0.05,0.0005,True,False,None
100,0.05,0.0005,False,False,l2
100,0.05,0.0005,False,False,None
100,0.05,0.0008,True,False,l2
100,0.05,0.0008,True,False,None
100,0.05,0.0008,False,False,l2
100,0.05,0.0008,False,False,None
100,0.5,0.0001,True,False,l2
100,0.5,0.0001,True,False,None
100,0.5,0.0001,False,False,l2
100,0.5,0.0001,False,False,None
100,0.5,0.001,True,False,l2
100,0.5,0.001,True,False,None
100,0.5,0.001,False,False,l2
100,0.5,0.001,False,False,None
100,0.5,0.003,True,False,l2
100,0.5,0.003,True,False,None
100,0.5,0.003,False,False,l2
100,0.5,0.003,False,False,None
100,0.5,0.005,True,False,l2
100,0.5,0.005,True,False,None
100,0.5,0.005,False,False,l2
100,0.5,0.005,False,False,None
100,0.5,0.0003,True,False,l2
100,0.5,0.0003,True,False,None
100,0.5,0.0003,False,False,l2
100,0.5,0.0003,False,False,None
100,0.5,0.0005,True,False,l2
100,0.5,0.0005,True,False,None
100,0.5,0.0005,False,False,l2
100,0.5,0.0005,False,False,None
100,0.5,0.0008,True,False,l2
100,0.5,0.0008,True,False,None
100,0.5,0.0008,False,False,l2
100,0.5,0.0008,False,False,None
100,5,0.0001,True,False,l2
100,5,0.0001,True,False,None
100,5,0.0001,False,False,l2
100,5,0.0001,False,False,None
100,5,0.001,True,False,l2
100,5,0.001,True,False,None
100,5,0.001,False,False,l2
100,5,0.001,False,False,None
100,5,0.003,True,False,l2
100,5,0.003,True,False,None
100,5,0.003,False,False,l2
100,5,0.003,False,False,None
100,5,0.005,True,False,l2
100,5,0.005,True,False,None
100,5,0.005,False,False,l2
100,5,0.005,False,False,None
100,5,0.0003,True,False,l2
100,5,0.0003,True,False,None
100,5,0.0003,False,False,l2
100,5,0.0003,False,False,None
100,5,0.0005,True,False,l2
100,5,0.0005,True,False,None
100,5,0.0005,False,False,l2
100,5,0.0005,False,False,None
100,5,0.0008,True,False,l2
100,5,0.0008,True,False,None
100,5,0.0008,False,False,l2
100,5,0.0008,False,False,None
100,10,0.0001,True,False,l2
100,10,0.0001,True,False,None
100,10,0.0001,False,False,l2
100,10,0.0001,False,False,None
100,10,0.001,True,False,l2
100,10,0.001,True,False,None
100,10,0.001,False,False,l2
100,10,0.001,False,False,None
100,10,0.003,True,False,l2
100,10,0.003,True,False,None
100,10,0.003,False,False,l2
100,10,0.003,False,False,None
100,10,0.005,True,False,l2
100,10,0.005,True,False,None
100,10,0.005,False,False,l2
100,10,0.005,False,False,None
100,10,0.0003,True,False,l2
100,10,0.0003,True,False,None
100,10,0.0003,False,False,l2
100,10,0.0003,False,False,None
100,10,0.0005,True,False,l2
100,10,0.0005,True,False,None
100,10,0.0005,False,False,l2
100,10,0.0005,False,False,None
100,10,0.0008,True,False,l2
100,10,0.0008,True,False,None
100,10,0.0008,False,False,l2
100,10,0.0008,False,False,None
100,100,0.0001,True,False,l2
100,100,0.0001,True,False,None
100,100,0.0001,False,False,l2
100,100,0.0001,False,False,None
100,100,0.001,True,False,l2
100,100,0.001,True,False,None
100,100,0.001,False,False,l2
